Topic,Count,Name,Representation,Representative_Docs
-1,146,-1_教学_教师_发展_课程,"['教学', '教师', '发展', '课程', '学院', '思政', '建设', '教育', '交大', '中心']","['相继 化学 学院 课程 思政 建设 规划 化学 学院 课程 思政 竞赛 办法 化学 学院 课程 思政 授课 规范 化学 学院 课程 思政 授课 培训 办法 文件\n', '教师 教学 发展 中心 守正 创新 回答 培养 教师 培养 教师 问题 踔厉奋发 高水平 一流 教师 教学 发展 学校 教育 教学改革 教师队伍 建设\n', '西安交大 教师 教学 发展 中心 以下 简称 中心 秉承 培育 大国 良师 提升 教学质量 初心 教师 教学 发展 规律 学校 实际 相结合 政治 引领 科学 体系 深入开展 理论 研究 努力 拓展 领域 发挥 国家级 示范 中心 示范 辐射 持续 探索 交大 特色 教师 教学 发展\n']"
0,108,0_党纪_学习_党员_师德师风建设,"['党纪', '学习', '党员', '师德师风建设', '教育', '政治', '党的纪律', '教师', '学院', '党支部']","['党纪 学习 教育 西安交通大学 认真 党中央 决策 部署 扎实 有序 党纪 学习 教育 提升 党员 个人修养 教师 师德师风 更高\n', '党纪 学习 师德师风 教育 交流 探讨 教师 党纪 理解 师德师风建设 重要性\n', '人工智能 学院 党纪 学习 师德师风 教育\n']"
1,107,1_西迁_交大_传承_奋斗,"['西迁', '交大', '传承', '奋斗', '爱国', '情怀', '科研', '国家', '教授', '传统']","['首任 主任 知恩 专家 组成员 胡奈赛 朱继洲 卢烈 英均 西迁 教授 创立 伊始 传承 发扬 西迁 青年教师 引航 指路 己任 培育 爱国 爱校 敬业 爱生 教书育人 严谨 治学 服务 为人师表 大师 教学 培训 中长期 西迁 交大 教学 传统 学人 宣讲\n', '学校 建设 西迁 博物馆 西迁 研究 中心 举办 西迁 系列 研讨会 打造 西迁 教授 群雕 广泛 宣传 宣讲 推出 系列 原创 校园 话剧 举办 讲坛 教育引导 师生 胸怀大局 无私奉献 听得准 走得实 西迁 传人 个人 发展 服务 国家 紧密结合\n', '西安交大 师生 西迁 指引 不忘 初心 牢记 使命 传承 发扬 交大 传统 交大 新篇章\n']"
2,99,2_大赛_教学_中心_联盟,"['大赛', '教学', '中心', '联盟', '发展', '创新', '高校', '全国', '西安交通大学', '榆林']","['黄河流域 大学 联盟 西北地区 高等学校 教师 教学 发展 中心 联盟 宁夏大学 本科生 联合 策划 西安交大 教师 教学 发展 中心 承办\n', '上午 西北地区 高等学校 教师 教学 发展 中心 联盟 黄河流域 大学 联盟 西安交通大学 对口 支援 榆林 学院 新进 教师 能力 培养 训练营 交大 旨在 促进 联盟 内部 高校 优质 教学 教育 资源共享\n', '简介 西安交通大学 教师 教学 发展 中心 教育部 国家级 示范 中心 区域 领域 发挥 示范 引领 联合 相关 高校 发起 西北地区 高等学校 教师 教学 发展 中心 联盟 简称 西北 联盟 一流 区域 教育 共同体 一流 资源共享 共用\n']"
3,70,3_部长_党委_主持会议_负责人,"['部长', '党委', '主持会议', '负责人', '会议', '工作部', '教师', '项目', '学院', '宣传部']","['校党委 书记 孙早 成员 单位 负责人 会议 教师 工作部 部长 主持会议\n', '校党委 书记 孙早 教师 委员会 成员 单位 负责人 会议 教师 工作部 部长 主持会议\n', '校党委 书记 孙早 党委 教师 委员会 成员 单位 负责人 会议 党委 教师 工作部 部长\n']"
4,62,4_师德师风建设_师德_学习_教师,"['师德师风建设', '师德', '学习', '教师', '建设', '意见', '突出', '政治', '问题', '教育部']","['孙早 师德师风建设 征程 重要性 部门 统一认识 做到 全校 一盘棋 部门 之间 通力协作 及时 认清 形势 回应 期盼 应对 挑战 教师 政治 师德师风建设 摆在 突出 位置 切实增强 学校 教师 群体 育人 为国 育才 责任感 使命感 紧迫感\n', '孙早 师德师风建设 征程 重要性 部门 统一认识 做到 全校 一盘棋 部门 之间 通力协作 及时 认清 形势 回应 期盼 应对 挑战 教师 政治 师德师风建设 摆在 突出 位置 切实增强 学校 教师 群体 育人 为国 育才 责任感 使命感 紧迫感\n', '主要 师德师风建设 回顾 近几年 党中央 教育部 学校 师德师风建设 相关 文件 解读 教师 师德 师风 基本概念 入手 重点 解读 师德师风 论述 高校教师 职业 十大 准则 研究生 导师 指导 行为准则 介绍 师德师风 典型 师德 失范 具体 案例 近期 部署 教职工 围绕 党史 学习 作风 建设 基层 教学 组织 建设 文化 建设\n']"
5,41,5_师德师风建设_考核_师德师风_组织,"['师德师风建设', '考核', '师德师风', '组织', '单位', '监督', '会议', '建设', '政治', '负责']","['提高 教师队伍 整体素质 切实 师德 考核 贯穿 教师 日常 管理工作 学院 实际 化学 学院 师德师风 考核 方案 师德 考核 融入 人才 考核 晋升 岗位 聘任 评奖 评优 导师 遴选 人才 专项 考核 实行 一票否决制 切实 担负起 学院 师德师风建设 主体 责任\n', '长期以来 西安交通大学 党的领导 贯穿 师德师风建设 创新 学校 党委 二级 单位 党组织 教师 党支部 三级 联动 机制 系统 教育引导 考核 评价 监督 约束 激励 四位一体 建设 师德 建设 系统化\n', '教师队伍 师德师风 政治 考核 监督 指导 二级 单位 党组织 师德师风建设\n']"
6,37,6_课程_学生_思政_教学,"['课程', '学生', '思政', '教学', '课堂', '讨论', '线下', '内容', '学习', '团队']","['课程 思政 教师 教学 重要一环 中心 联合 名师 工作室 策划 组织 骨干教师 课程 思政 培训 全程 贯通 覆盖 全校 二级 教学 单位 余位 教师 做好 课程 思政全 覆盖 培育 火种\n', '课程 思政 系列 第一场 交流会 交流会 马克思主义 学院 教授 马忠 带来 课程 思政 精彩 报告 系统 阐释 课程 思政 正确 内涵 基本原理 传授 教书 育人 有效 专业课程 思政 元素 有机 融合 教学方法 与会 教师 指明 课程 思政 建设\n', '精心 授课 综合 素质 下功夫 更好 达成 教学 培养 学生 综合 素质 教学 团队 传统 授课 模式 建成 化学 人类文明 MOOC 依托 梳理 课程 教学内容 学习 学时 线上 讨论 学时 线下 学习 学时 线下 讨论 学时 方案 采取 线上 教学 线下 教学 交叉 方式 探索 实施 混合 教学模式\n']"
7,24,7_协同_部门_问题_机制,"['协同', '部门', '问题', '机制', '做好', '责任', '查摆', '对表', '落地', '协作']","['对标 对表 重要讲话 问题 导向 党支部 共建 走深 走实 凝聚 合力 部门 高效 协同 扎实 党建 业务 深度 融合\n', '教师 工作部 发挥 牵头 总和 协调 做好 顶层 设计 协同 协作 贯通 机制 创新 方式 方法 做好 相关 落地 跟踪 督办 提升 教师 政治 师德师风建设 水平\n', '教师 工作部 发挥 牵头 总和 协调 做好 顶层 设计 协同 协作 贯通 机制 创新 方式 方法 做好 相关 落地 跟踪 督办 提升 教师 政治 师德师风建设 水平\n']"
8,23,8_教师_育人_生理学_师德师风建设,"['教师', '育人', '生理学', '师德师风建设', '专题', '职业', '学史', '师德', '引导', '使命']","['会议 西安交通大学 教师 政治 师德师风建设 三级 联动 责任制 办法 教师 领导 贯穿 教师队伍 建设 全过程 引导 教师 坚守 育人 为国 育才 使命 教育家 西迁 统一 学生 为学 为事\n', '刘茹 传达 教育部 教师 政治 师德师风建设 经验交流 师德 专题 教育 启动 部署 视频 学习 教育 论述 培养 担当 民族 复兴 新人 为题 讲授 专题 党课 解读 近三年 教育 师德师风 论述 内容 特别强调 引导 教师 争做 四有 老师 引路人 教师 责任感 使命感 荣誉感 引导 教师 潜心 立德 赤诚 之心 奉献 之心 仁爱之心 投身 教育 事业 践行 一颗 心来 不带 半根 草去 师德 表率\n', '培训 伊始 张莉 主任 学科 特点 育人 实际 阐释 师德师风 专题 培训 意义 生理学 病理 生理学 连接 基础医学 临床医学 桥梁 课程 教师 道德修养 直接 影响 医学生 职业 价值观 塑造 教师 提高 思想认识 主动 师德 融入 日常 教学科研 全过程 自觉 学生 为学 为事 引路人\n']"
9,23,9_研究_研究生_路径_导师,"['研究', '研究生', '路径', '导师', '项目', '学院', '研究成果', '结项', '围绕', '一批']","['首批 项目 多支 研究 团队 围绕 高校 师德师风建设 关键 议题 深耕细作 产出 一批 高质量 研究成果\n', '物理 学院 党委书记 张莹 围绕 高校教师 党组织 生活 教研 深度 融合 研究 马克思主义 学院 教授 樊晓燕 聚焦 高校教师 责任意识 提升 路径 研究 能动 学院 辅导员 亚龙 高校教师 师德师风 典型示范 引领 路径 探析 首批 优秀 结项 项目 分享 报告\n', '物理 学院 党委书记 张莹 围绕 高校教师 党组织 生活 教研 深度 融合 研究 马克思主义 学院 教授 樊晓燕 聚焦 高校教师 责任意识 提升 路径 研究 能动 学院 辅导员 亚龙 高校教师 师德师风 典型示范 引领 路径 探析 首批 优秀 结项 项目 分享 报告\n']"
10,20,10_培养_阶段_精准_教学,"['培养', '阶段', '精准', '教学', '培训', '定制', '教师', '体系', '个性', '模式']","['教师 教学 培养 体系\n', '集中 培训 专题研究 个性 定制 精准 指导 教师 教学 培养 模式\n', '教师 培养 体系 阶段 培训 聚焦 青年教师 从入 职到 三尺 讲台 实施 集中 培训 专题研究 个性 定制 精准 指导 培养 模式 注重 夯实 教师 政治素质 教育 教学 能力 两项 基础\n']"
11,19,11_发展_学院_研究生_学生,"['发展', '学院', '研究生', '学生', '人才培养', '院长', '引导', '高质量', '学术', '质量']","['旭光 研究生 导师 承担 教书育人 重任 更要 注重 学生 之间 心灵 交流 有效 沟通 努力 研究生 和谐 积极 学习 环境 学术 成长 职业 发展 坚实 引导\n', '申胜平 院长 指出 师德师风建设 培养 高素质 教师队伍 立德 根本任务 关键 学院 人才队伍 建设 过程 中要 积极 引导 教师 践行 西迁 正气 勇担 使命 课程 思政 建设 学科 特色 凝练 互促 互融 学院 高质量 发展\n', '会上 学院 院长 杨铁林 李剑君 林敏 书记 苏翔 汇报 分管 师德师风 问题 引导 教师 立德 根本任务 恪守 学术 道德 学术 规范 学生 培养 过程 管理 正确处理 导学 掌握 学生 高效 沟通 方法 合力 培养 德智体美 发展 交大 优秀 学子\n']"
12,18,12_西安交通大学_教育部_文件_质量标准,"['西安交通大学', '教育部', '文件', '质量标准', '十项准则', '政治', '审议', '与会', '考察', '办法']","['与会 人员 集体 学习 教育部 压实 高校 师德师风建设 主体 责任 中共 教育部党组 印发 普通 高等学校 教师 党建 政治 质量标准 文件 重温 西安交通大学 党委 教师 委员会 规则\n', '会议 审议 西安交通大学 党委 教师 工作部 计划 西安交通大学 教师 政治 师德师风建设 三级 联动 责任制 办法 做好 西安交通大学 教师 党建 政治 质量标准 西安交通大学 教职员工 准入 查询 实施办法 文件\n', '会议 审议 西安交通大学 党委 教师 工作部 计划 西安交通大学 教师 政治 师德师风建设 三级 联动 责任制 办法 做好 西安交通大学 教师 党建 政治 质量标准 西安交通大学 教职员工 准入 查询 实施办法 文件\n']"
13,18,13_强国_科技_服务_面向,"['强国', '科技', '服务', '面向', '教育', '高素质', '建设', '人才', '高尚', '创新']","['刘茹 二十大 报告 指出 教育 优先发展 科技 自立自强 人才 引领 驱动 建设 教育 强国 科技 强国 人才 强国\n', '传承 西迁 牢记 育人 为国 育才 使命 师德师风建设 长效机制 努力 建设 高素质 专业化 教师队伍 建设 教育 强国 科技 强国 人才 强国 贡献 交大 力量\n', '会议 学习 重要讲话 科教兴国 战略 人才 强国 战略 创新 驱动 发展 战略 面向世界 科技前沿 面向 经济 主战场 面向 国家 需求 面向 人民 健康 发展 科技 生产力 培养人才 资源 创新 动力 更好 起来 学校 科技 创新 体系 建设 学科 交叉 融合 高层次 人才队伍 建设 培养 创新 领军 人才 服务 国家 战略 能力 水平 自觉 履行 高水平 科技 自立自强 使命 担当 建成 科技 强国 中华民族 伟大复兴 贡献 交大 智慧 力量\n']"
14,18,14_领导_其身_大道_常榕,"['领导', '其身', '大道', '常榕', '其身正', '孔子', '虽令', '师德为', '欲知', '三人']","['欲知 大道\n', '其身 虽令\n', '孔子 其身正\n']"
15,15,15_教学_培训_教师_名师,"['教学', '培训', '教师', '名师', '培养', '数字化', '后备', '带动', '提升', '教育']","['系列 浸入 培训 延安 举办 新入 教师 教学 培训班 井冈山 红色 教育 基地 举办 后备 教学 名师 思政课 教师 政治 教育 培训班\n', '新入 教师 培训 申请 开课 教师 培训 开课 教师 教学 培训 骨干教师 教学 能力 提升 培养 后备 教学 名师 培养 阶段 递进 交大 特色 教师 教学 培养 体系\n', '教师 教学 发展 中心 主任 高洋 从以 师德师风 培育 引领 教师 教学 发展 阶段 递进 教师 教学 培养 体系 教师 师德师风 培育 沉浸 培训 模式 提升 后备 教学 名师 培训 成效 汇报 中心 相关 情况\n']"
